,0
symboling,1.2360914870945217
wheelbase,5.95549971113057
carlength,12.462848001207945
carwidth,1.9310250620375828
carheight,2.4431685105721996
curbweight,508.4711626343304
enginesize,40.65844508017326
boreratio,0.2888017268387258
stroke,0.3051680067248236
compressionratio,3.829877443057649
horsepower,40.18401959934906
peakrpm,468.9460194794909
citympg,6.744435116300313
highwaympg,7.0135528821267075
fueltype_gas,0.2865318361649869
aspiration_turbo,0.40406438363568276
doornumber_two,0.5012313240383669
carbody_hardtop,0.12699166342835744
carbody_hatchback,0.48789150237127404
carbody_sedan,0.5006992311877015
carbody_wagon,0.32856782750764074
drivewheel_fwd,0.49156553852143514
drivewheel_rwd,0.48129063679081513
enginelocation_rear,0.1548883592735897
enginetype_dohcv,0.0
enginetype_l,0.21628982288819326
enginetype_ohc,0.44488294153331287
enginetype_ohcf,0.2979337077309633
enginetype_ohcv,0.23261919236784867
enginetype_rotor,0.12699166342835744
cylindernumber_five,0.17810290585867264
cylindernumber_four,0.3979153997194208
cylindernumber_six,0.33776870526150243
cylindernumber_three,0.0
cylindernumber_twelve,0.09016696346674322
cylindernumber_two,0.12699166342835744
fuelsystem_2bbl,0.46394744792870407
fuelsystem_4bbl,0.12699166342835744
fuelsystem_idi,0.28653183616498684
fuelsystem_mfi,0.09016696346674322
fuelsystem_mpfi,0.5012313240383669
fuelsystem_spdi,0.1982866770381132
fuelsystem_spfi,0.0901669634667432
